Uni,Major,block,score
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.08800 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.08800 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.30773 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.16249 (c)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,A00,0.14359 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,C00,0.23932 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,C00,0.14359 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A01,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.08800 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),B00,0.13484 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,B00,0.02559 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,B00,0.01197 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,B00,0.00000 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,C00,0.21061 (c)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,0.07347 (c)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,C00,0.03342 (c)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,C00,0.00939 (c)
Đại học Khoa học Xã hội và Nhân văn - ĐHQG HN,Báo chí,A01,0.00000 (d)
Học viện Ngân hàng,Kinh doanh quốc tế,A01,0.15328 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,A01,0.00939 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,A01,0.00000 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,0.00000 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,D01,1.00000 (d)
Đại học Sư phạm Hà Nội,Giáo dục mầm non,M00,2.00000 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,D01,2.00000 (d)
Học viện Báo chí và Tuyên truyền,Truyền thông chính sách,D01,2.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,0.49092 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.16214 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Khoa học máy tính,A01,0.07801 (c)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,A01,0.07801 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.06451 (c)
Đại học Bách khoa Hà Nội,Điện tử - Viễn thông - hợp tác với ĐH Leibniz Hannover (Đức),A01,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,1.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,1.00000 (d)
Đại học Công nghiệp Hà Nội,Kiểm toán,A01,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A01,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.08800 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A01,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.08800 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.08800 (c)
Đại học Kinh tế Quốc dân,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00,0.00000 (d)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,1.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,2.00000 (d)
Học viện Nông nghiệp Việt Nam,Chăn nuôi,A00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,2.23607 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),B00,0.13484 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,B00,0.02559 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,B00,0.01197 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,B00,0.00000 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.49092 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,A00,0.30852 (c)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,A00,0.12995 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.10713 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.06451 (c)
Đại học Bách khoa Hà Nội,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00,0.02204 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),B00,0.13484 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,B00,0.02559 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,B00,0.01197 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,B00,0.00000 (c)
Đại học Thủy Lợi,Kỹ thuật cấp thoát nước,A00,0.00000 (d)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,A00,0.30852 (c)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,A00,0.12995 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.10713 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.06451 (c)
Đại học Bách khoa Hà Nội,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00,0.02204 (c)
Đại học CMC,Ngôn ngữ Nhật,A01,0.00000 (d)
Đại học Bách khoa Hà Nội,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,A00,0.00000 (d)
Học viện Chính sách và Phát triển,Kinh tế quốc tế,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),B00,0.13484 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,B00,0.02559 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,B00,0.01197 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,B00,0.00000 (c)
Học viện Ngân hàng,Kinh doanh quốc tế,A01,0.00000 (d)
Đại học Giáo dục - ĐHQG Hà Nội,Sư phạm Toán học,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,1.00000 (d)
Đại học Công nghiệp Hà Nội,Kiểm toán,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Điện tử - Viễn thông - hợp tác với ĐH Leibniz Hannover (Đức),A00,1.41421 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,2.00000 (d)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,D01,0.21822 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,D01,0.21061 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,D01,0.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Bách khoa Hà Nội,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),D01,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,0.00000 (d)
Đại học Bách khoa Hà Nội,An toàn không gian số Cyber Security (CT tiên tiến),A01,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kế toán,A01,1.00000 (d)
Học viện Tài chính,Tài chính doanh nghiệp,A01,2.00000 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,D01,2.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),B00,0.13484 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,B00,0.02559 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,B00,0.01197 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,B00,0.00000 (c)
Học viện An ninh nhân dân,Y khoa,A00,0.13484 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),B00,0.13484 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,B00,0.02559 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,B00,0.01197 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,B00,0.00000 (c)
Học viện An ninh nhân dân,Y khoa,A00,0.13484 (c)
Học viện Ngân hàng,Kinh doanh quốc tế,D07,0.00000 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,A00,0.00000 (d)
Học viện Chính sách và Phát triển,Kinh tế quốc tế,A00,0.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.10713 (c)
