Uni,Major,block,score
Đại học Ngoại thương (Cơ sở Hà Nội),Kế toán,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điện,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Kế toán,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.41421 (d)
Đại học Công nghệ Đông Á,Dược học,A00,2.23607 (d)
Đại học Giao thông Vận tải,Kinh tế xây dựng,A00,3.16228 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,3.16228 (d)
Học viện Ngân hàng,Kinh doanh quốc tế,D01,0.20412 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Kế toán,D01,1.00000 (d)
Học viện Thiết kế và Thời trang London,Thiết kế thời trang,XHB,1.00000 (d)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,0.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Bách khoa Hà Nội,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),A01,0.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,1.00000 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,C00,0.17408 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,0.07347 (c)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),A00,0.00000 (d)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,C00,0.00000 (d)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,C00,0.21061 (c)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,0.07347 (c)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,C00,0.03342 (c)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,C00,0.00939 (c)
Học viện An ninh nhân dân,Y khoa,B00,1.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,1.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,2.23607 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,2.23607 (d)
Đại học Giáo dục - ĐHQG Hà Nội,Sư phạm Toán học,A00,3.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,3.16228 (d)
Đại học Bách khoa Hà Nội,Kế toán,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,1.00000 (d)
Đại học Giao thông Vận tải,Kinh tế xây dựng,A01,2.00000 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,2.00000 (d)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.30773 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.16249 (c)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,A00,0.14359 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Hàng không,A00,1.00000 (d)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.41421 (d)
Đại học Khoa học Xã hội và Nhân văn - ĐHQG HN,Báo chí,A01,1.41421 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,1.41421 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điều khiển - Tự động hoá,A00,1.41421 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.41421 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,0.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,2.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,2.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,2.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,1.00000 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,1.00000 (d)
Học viện Báo chí và Tuyên truyền,Truyền thông chính sách,A16,1.41421 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,1.41421 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điều khiển - Tự động hoá,A00,1.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.41421 (d)
Học viện An ninh nhân dân,Y khoa,B00,1.41421 (d)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,C20,0.21061 (c)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C20,0.07347 (c)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,C20,0.03342 (c)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,C20,0.00939 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,C20,0.23932 (c)
Đại học Sư phạm Hà Nội,Giáo dục mầm non,M00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,1.41421 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.41421 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,2.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),A00,2.00000 (d)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,2.00000 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,A00,2.23607 (d)
Đại học Giao thông Vận tải,Kinh tế xây dựng,A00,2.23607 (d)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,A00,2.23607 (d)
Học viện An ninh nhân dân,Y khoa,B00,2.23607 (d)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,3.16228 (d)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,A00,3.60555 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,3.60555 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Thương mại,Quản trị hệ thống thông tin,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điều khiển - Tự động hoá,A00,1.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,1.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,2.00000 (d)
Đại học Giao thông Vận tải,Kinh tế xây dựng,A00,2.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.00000 (d)
Đại học Sư phạm Hà Nội,Giáo dục mầm non,M00,1.41421 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,1.41421 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,1.41421 (d)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,1.41421 (d)
Đại học Sư phạm Hà Nội,Giáo dục mầm non,M00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.00000 (d)
Học viện Nông nghiệp Việt Nam,Chăn nuôi,A00,1.41421 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,2.00000 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Thương mại,Quản trị hệ thống thông tin,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Kế toán,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Giao thông Vận tải,Kinh tế xây dựng,A00,2.00000 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,2.00000 (d)
Đại học Giao thông Vận tải,Kinh tế xây dựng,A00,0.00000 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,0.00000 (d)
Học viện Thiết kế và Thời trang London,Thiết kế thời trang,XHB,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Học viện Ngoại giao,Ngôn ngữ Anh,A01,1.00000 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,C00,0.17408 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,0.07347 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,1.00000 (d)
Học viện Nông nghiệp Việt Nam,Chăn nuôi,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,1.00000 (d)
Đại học Công nghệ Đông Á,Dược học,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Khoa học và Công nghệ Hà Nội,Khoa học Vũ trụ và Công nghệ Vệ tinh,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,1.41421 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,2.00000 (d)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,A00,2.00000 (d)
Đại học Bách khoa Hà Nội,Tiếng Anh KHKT và Công nghệ,D01,2.23607 (d)
Học viện Nông nghiệp Việt Nam,Công nghệ kỹ thuật môi trường,A00,2.23607 (d)
Đại học CMC,Ngôn ngữ Nhật,D01,0.41833 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,D01,0.00932 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,0.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,1.00000 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,1.00000 (d)
Học viện Ngân hàng,Kinh doanh quốc tế,A01,0.00000 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,A00,0.00000 (d)
Học viện Chính sách và Phát triển,Kinh tế quốc tế,A00,0.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,A00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,0.00000 (d)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.00000 (d)
Học viện Ngoại giao,Ngôn ngữ Anh,A01,0.00000 (d)
Học viện Ngoại giao,Ngôn ngữ Anh,A01,0.00000 (d)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,C00,0.21061 (c)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,0.07347 (c)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,C00,0.03342 (c)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,C00,0.00939 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Thủy Lợi,Công nghệ thông tin,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Y sinh (CT tiên tiến),A00,0.00000 (d)
Đại học Thương mại,Quản trị hệ thống thông tin,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,2.23607 (d)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,3.16228 (d)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,A00,3.60555 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,3.60555 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.41421 (d)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,A00,1.41421 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điều khiển - Tự động hoá,A00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,2.23607 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,2.23607 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,C00,0.17408 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,0.07347 (c)
Đại học Kinh tế Quốc dân,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00,1.00000 (d)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,2.00000 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,2.00000 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,1.41421 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,2.23607 (d)
Đại học Kinh tế Quốc dân,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,3.00000 (d)
Đại học Sư phạm Hà Nội,Giáo dục mầm non,M00,3.16228 (d)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,A01,0.00000 (d)
Học viện Nông nghiệp Việt Nam,Công nghệ kỹ thuật môi trường,A00,1.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A01,1.00000 (d)
Đại học Khoa học Xã hội và Nhân văn - ĐHQG HN,Báo chí,A01,1.00000 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,1.41421 (d)
Đại học Khoa học Xã hội và Nhân văn - ĐHQG HN,Báo chí,C00,1.00000 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,1.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,1.00000 (d)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,A00,1.00000 (d)
Học viện Nông nghiệp Việt Nam,Công nghệ kỹ thuật môi trường,A00,1.41421 (d)
Đại học Kinh tế Quốc dân,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00,1.00000 (d)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,1.41421 (d)
Học viện Nông nghiệp Việt Nam,Chăn nuôi,B00,2.82843 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,3.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,3.16228 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,C00,0.17408 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,0.07347 (c)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Tiếng Anh KHKT và Công nghệ,D01,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,2.00000 (d)
Đại học Kinh tế Quốc dân,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),D01,1.00000 (d)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,2.00000 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,2.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,D01,2.23607 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,D01,2.23607 (d)
Học viện An ninh nhân dân,Y khoa,B00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,2.00000 (d)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,2.23607 (d)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,A00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,2.23607 (d)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.41421 (d)
Học viện Nông nghiệp Việt Nam,Chăn nuôi,A00,2.00000 (d)
Đại học Kinh tế Quốc dân,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00,2.23607 (d)
Học viện An ninh nhân dân,Y khoa,B00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điều khiển - Tự động hoá,A00,1.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.41421 (d)
Học viện An ninh nhân dân,Y khoa,B00,1.41421 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.00000 (d)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,A00,1.00000 (d)
Học viện Nông nghiệp Việt Nam,Công nghệ kỹ thuật môi trường,A00,2.00000 (d)
Đại học Bách khoa Hà Nội,Tiếng Anh KHKT và Công nghệ,D01,3.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,3.16228 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điện,A00,1.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kế toán,A00,1.00000 (d)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,1.00000 (d)
Đại học Sư phạm Hà Nội,Giáo dục mầm non,M00,1.41421 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,1.41421 (d)
Học viện Nông nghiệp Việt Nam,Chăn nuôi,D01,2.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,D01,2.23607 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,D01,2.23607 (d)
Học viện Ngoại giao,Truyền thông quốc tế,A01,0.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,1.00000 (d)
Học viện Biên phòng,Ngành Luật,C00,1.00000 (d)
Đại học CMC,Ngôn ngữ Nhật,A01,1.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,2.00000 (d)
Đại học Kinh tế Quốc dân,Khoa học quản lý,A00,2.00000 (d)
Học viện Khoa học Quân sự,Ngôn ngữ Anh,D01,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (Đức),A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,1.00000 (d)
Học viện Chính sách và Phát triển,Kinh tế quốc tế,A00,1.41421 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,A00,1.41421 (d)
Đại học CMC,Ngôn ngữ Nhật,D01,0.41833 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,D01,0.00932 (c)
Đại học Công nghiệp Hà Nội,Kiểm toán,D01,0.00000 (d)
Đại học Giáo dục - ĐHQG Hà Nội,Sư phạm Toán học,D01,1.00000 (d)
Đại học Bách khoa Hà Nội,Điện tử - Viễn thông - hợp tác với ĐH Leibniz Hannover (Đức),A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.07801 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.00000 (d)
Học viện Báo chí và Tuyên truyền,Truyền thông chính sách,A16,1.00000 (d)
Học viện Chính sách và Phát triển,Kinh tế quốc tế,A00,1.00000 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,A00,1.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kế toán,A00,1.00000 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,1.00000 (d)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,1.00000 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,1.41421 (d)
Học viện Tài chính,Tài chính doanh nghiệp,A01,1.41421 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,C00,0.17408 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,0.07347 (c)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,C00,0.21061 (c)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,0.07347 (c)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,C00,0.03342 (c)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Tiếng Anh KHKT và Công nghệ,D01,2.82843 (d)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,A00,3.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,3.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Hàng không,A00,3.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.07801 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,1.00000 (d)
Học viện Chính sách và Phát triển,Kế toán,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,1.00000 (d)
Đại học Giao thông Vận tải,Kinh tế xây dựng,A00,1.41421 (d)
Đại học Kinh tế Quốc dân,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),D01,1.00000 (d)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,2.00000 (d)
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,D01,2.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,D01,2.23607 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,D01,2.23607 (d)
Đại học Công nghiệp Hà Nội,Kinh tế đầu tư,C00,0.17408 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,0.07347 (c)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),A00,0.00000 (d)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,C00,0.00000 (d)
Học viện Nông nghiệp Việt Nam,Công nghệ kỹ thuật môi trường,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,1.00000 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,1.00000 (d)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Tiếng Anh KHKT và Công nghệ,D01,1.00000 (d)
Đại học Bách khoa Hà Nội,Quản trị kinh doanh,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Tiếng Anh KHKT và Công nghệ,D01,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,2.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,2.00000 (d)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,XHB,2.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,1.41421 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,1.41421 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điện,A00,1.41421 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.07801 (c)
